0.0181336, 1825.73, 2050488
0.0180549, 1815.55, 2062002
0.0180191, 1804.77, 2074379
0.0178415, 1795.95, 2084669
0.0176127, 1786.82, 2095339
0.0175901, 1777.12, 2106797
0.0173156, 1768.13, 2117534
0.0171092, 1759.06, 2128460
0.0170581, 1748.63, 2141175
0.0169432, 1740.54, 2151230
0.016784, 1731.54, 2162461
0.0168049, 1722.55, 2173783
0.0166327, 1713.87, 2184822
0.0164733, 1705.82, 2195185
0.0164657, 1697.24, 2206298
0.0163022, 1688.36, 2217963
0.0161857, 1680.34, 2228557
0.0160187, 1672.05, 2239681
0.0158021, 1664.13, 2250393
0.015574, 1655.22, 2262577
0.0156524, 1644.73, 2277054
0.015585, 1636.78, 2288147
0.0155426, 1628.81, 2299345
0.0154684, 1619.64, 2312390
0.0154852, 1611.33, 2324667
0.0152, 1603.48, 2336143
0.0151728, 1595.25, 2348214
0.0151195, 1587.69, 2359449
0.0150509, 1579.69, 2371420
0.0149572, 1572.4, 2382450
0.0150761, 1565.12, 2393636
0.015193, 1558.01, 2404668
0.0152013, 1550.81, 2415870
0.015159, 1543.64, 2427137
0.0151153, 1536.69, 2438131
0.0152457, 1529.7, 2449312
0.0150242, 1523.14, 2460579
0.0150054, 1516.38, 2471587
0.015014, 1509.69, 2482579
0.0160328, 1503.42, 2494012
0.0159537, 1496.68, 2505390
0.0159343, 1489.45, 2517551
0.0157652, 1482.98, 2528597
0.0157447, 1476.35, 2539987
0.0156647, 1469.88, 2551267
0.0156224, 1463.75, 2561975
0.0156275, 1457.62, 2572902
0.0156751, 1451.46, 2583848
0.0156121, 1445.35, 2594792
0.0154334, 1439.37, 2606323
0.0154958, 1434.08, 2615994
0.0154529, 1428.15, 2626877
0.0154197, 1422.45, 2637416
0.0154001, 1416.57, 2648401
0.0153458, 1411.45, 2658035
0.0154936, 1405.85, 2668777
0.0153879, 1400.61, 2678984
0.0153002, 1395.2, 2689381
0.0152506, 1389.47, 2700509
0.0152418, 1383.75, 2711685
0.0151396, 1376.92, 2725278
0.0148269, 1371.42, 2736564
0.0148352, 1365.87, 2747746
0.0147844, 1360.4, 2758820
0.0148946, 1354.95, 2769985
0.014635, 1350.23, 2781265
0.0145885, 1344.81, 2792577
0.0144849, 1339.45, 2803822
0.01429, 1334.35, 2814784
0.0142676, 1329.27, 2825559
0.0142167, 1324.04, 2836742
0.0141512, 1318.6, 2848471
0.0140709, 1313.73, 2859121
0.0140489, 1309.18, 2870134
0.0139621, 1304.05, 2881449
0.0139181, 1299.04, 2892588
0.0138671, 1294.07, 2903738
0.0139065, 1289.17, 2914780
0.0139768, 1284.46, 2925574
0.0139564, 1279.73, 2936407
0.0134931, 1275.8, 2947668
0.0134743, 1271.22, 2958300
0.013363, 1266.41, 2969598
0.0133428, 1261.73, 2980668
0.0133535, 1257.01, 2991878
0.0133976, 1252.37, 3003144
0.0133833, 1247.66, 3014495
0.0134049, 1243.01, 3025925
0.0133364, 1238.56, 3037487
0.0131273, 1234.24, 3048326
0.0130313, 1228.6, 3063966
0.0131418, 1224.2, 3075055
0.013156, 1219.71, 3086533
0.0131355, 1215.58, 3097043
0.0131001, 1211.64, 3107649
0.0131306, 1207.19, 3119161
0.0132051, 1203.08, 3129973
0.0132702, 1198.77, 3141233
0.013216, 1194.57, 3152299
0.0132335, 1190.51, 3163076
0.0130952, 1186.43, 3174426
0.0130817, 1182.48, 3185058
0.0140976, 1179.83, 3195860
0.0141224, 1175.47, 3207734
0.0139908, 1170.84, 3220598
0.013954, 1164.1, 3239294
0.0139945, 1160.29, 3250031
0.0138365, 1156.54, 3261477
0.0136446, 1152.9, 3272151
0.0136435, 1149.14, 3282874
0.0136338, 1145.35, 3293759
0.0135934, 1141.43, 3305122
0.0139342, 1137.94, 3316138
0.0139412, 1134.25, 3326937
0.014223, 1128.57, 3344048
0.01416, 1121.26, 3365964
0.0141758, 1118, 3375807
0.0138734, 1114.13, 3387907
0.0138605, 1109.32, 3402688
0.0137543, 1106.96, 3410308
0.0166794, 1135.3, 3420976
0.0166946, 1132.09, 3430701
0.0167326, 1127.64, 3444293
0.016763, 1124.38, 3454310
0.016756, 1120.64, 3465873
0.0166893, 1116.44, 3479033
0.016838, 1113.11, 3489609
0.0167901, 1111.15, 3499313
0.0168155, 1108.27, 3508452
0.0167627, 1105.13, 3518441
0.0168646, 1100.44, 3533495
0.0168768, 1097.32, 3543569
0.0168677, 1093.49, 3556020
0.0167875, 1090.71, 3565649
0.0167852, 1087.51, 3576194
0.0166466, 1082.57, 3592970
0.0167054, 1079.4, 3603550
0.0167022, 1076.47, 3613487
0.0166829, 1073.54, 3623360
0.0168115, 1070.4, 3636306
0.0165763, 1067.41, 3646748
